,tweet_id,text
0,862311370687164417,At Spring Valley this morning for #101Dalmatians rehearsal. Go see the show tomorrow &amp; Friday 6:30pm!
1,862064640645312512,We will take another please!.#101dalmatians #Dalmatian #dalmatiansofinstagram #spot #spotify
2,861553366840864769,New mug!  disneystoreuk #Disney #disneyuk #disneymugs #101dalmatians #dalmatians
3,861445991869841410,"Good old Sergeant Tibbs, one of my favorite underrated Disney characters"
4,861387488493006848,101 Dalmatians: Diamond Edition DVD to be Released on February 10th
5,861055632320978944,"Cruella, Jasper, &amp; Horace should have all died from that accident."
6,861043038424104960,"\""No dogs better than Dad\"" Too dang cute."
7,860952802700521474,ILoveJohnWaite Yes!!! I changed her name to Cruella Deville. She runs the show with the pups.
8,860642140736684033,Old school animation rules!
9,860460684248846336,"\""How would we get out??\"" \""The back bedroom window, it's always open just a wee bit...\"" #101Dalmatians"
10,860330579484708864,Some more Disney fan art!#101Dalmatians #Pocahontas #OliverAndCompany #darkwingduck #BLOSC #TheLionKing
11,860278392859402240,Awesome 2 pack of Ursula with Cruella De Vil
12,860187358154674177,Check #DISNEY #101DALMATIANS #BT #PHONECARDS 1989 #DIPSTICK #PONGO #PERDITA  via eBay_UK CJSINREGENT
13,859917467564507136,Another great play here hcpss_bses! They keep getting better and better!
14,859711396937965574,#HappyBirthday bluebells Dodie Smith #bornonthisday 1896 Author of #ICaptureTheCastle on octagontheatre &amp;
15,859641759881625603,Born OTD 1896 #DodieSmith #101Dalmatians The Funeral (Dog) by Francis #Cadell #scottishcolourist NatGalleriesSco
16,859555649197400064,senior field day
17,859484457228656640,I thought I saw a pussy cat is here. #101Dalmatians they start walking on an amusement park.
18,859469734223290368,#101Dalmatians here more formerly exposed blone by ke$ha dropped as middle school penice in elective computer class.
19,859459070729834497,I need these. All of these.
20,859409544203694080,"Our latest mini ep is on iTunes &amp; Podomatic! How meats helped dogs act in #101Dalmatians &amp; the \""Episode Name Game!\"""
21,859128974479413248,"Is it because i didn't tweet much today? spent the day with My family watching Disney Movies #101Dalmatians, #LionKing slept in till noon"
